통화명,환율(원),전일대비,Table Index,Cross Rate
미국 달러 (USD),"1,392.00",0.60,0,
위안 (CNH),192.41,0.06,0,
일본 엔 (JPY) (100),900.56,0.83000,1,154.57000
유로 (EUR),"1,475.10",0.29000,1,1.05970
영국 파운드 (GBP),"1,765.40",0.49000,1,1.26825
캐나다 달러 (CAD),997.49,4.30000,1,1.39550
스위스 프랑 (CHF),"1,577.61",0.67000,1,0.88235
호주 달러 (AUD),909.53,3.92000,1,0.65340
뉴질랜드 달러 (NZD),823.37,3.20000,1,0.59150
홍콩 달러 (HKD),178.84,0.07000,1,7.78345
대만 달러 (TWD),43.04,0.14000,1,32.34300
몽골 투그릭 (MNT),0.41,0,1,"3,418.00000"
카자흐스탄 텡게 (KZT),2.80,0.01000,1,496.91500
태국 밧 (THB),40.36,0.11000,1,34.49000
싱가포르 달러 (SGD),"1,040.48",0.33000,1,1.33785
인도네시아 루피아 (IDR) (100),8.79,0,1,"15,830.00000"
말레이시아 링깃 (MYR),311.20,0.39000,1,4.47300
필리핀 페소 (PHP),23.65,0.07000,1,58.87000
베트남 동 (VND) (100),5.48,0,1,"25,405.00000"
브루나이 달러 (BND),"1,040.48",0.33000,1,1.33785
인도 루피 (INR),16.49,0.01000,1,84.39400
파키스탄 루피 (PKR),5.01,0,1,278.10000
방글라데시 타카 (BDT),11.65,0,1,119.50000
캄보디아 리엘 (KHR),0.34,0,1,"4,050.00000"
마카오 파타카 (MOP),173.54,0.08000,1,8.02100
네팔 루피 (NPR),10.31,0,1,135.07000
스리랑카 루피 (LKR),4.78,0,1,290.95000
우즈베키스탄 숨 (UZS),0.11,0,1,"12,870.00000"
미얀마 짯 (MMK),0.66,0,1,"2,100.00000"
멕시코 페소 (MXN),69.23,0.35000,1,20.10750
브라질 헤알 (BRL),241.12,1.16000,1,5.77310
아르헨티나 페소 (ARS),1.39,0,1,"1,001.75000"
칠레 페소 (CLP),1.43,0,1,971.85000
콜롬비아 페소 (COP),0.32,0,1,"4,391.77000"
스웨덴 크로나 (SEK),127.49,0.14000,1,10.91850
덴마크 크로네 (DKK),197.76,0.05000,1,7.03875
노르웨이 크로네 (NOK),126.79,0.22000,1,10.97915
러시아 루블 (RUB),13.84,0.12000,1,100.57500
헝가리 포린트 (HUF),3.61,0.02000,1,386.07000
폴란드 즈워티 (PLN),340.39,1.52000,1,4.08945
체코 코루나 (CZK),58.33,0,1,23.86550
루마니아 레우 (RON),296.42,0.07000,1,4.69610
사우디아라비아 리얄 (SAR),370.79,0.17000,1,3.75410
카타르 리얄 (QAR),381.68,0.29000,1,3.64700
이스라엘 셰켈 (ILS),371.79,0.82000,1,3.74405
요르단 디나르 (JOD),"1,961.25",2.92000,1,0.70975
쿠웨이트 디나르 (KWD),"4,528.01",2.10000,1,0.30742
바레인 디나르 (BHD),"3,692.50",1.69000,1,0.37698
아랍에미리트 디르함 (AED),378.98,0.17000,1,3.67300
튀르키예 리라 (TRY),40.34,0.06000,1,34.50500
오만 리얄 (OMR),"3,615.30",1.56000,1,0.38503
남아프리카공화국 랜드 (ZAR),77.14,0.41000,1,18.04440
이집트 파운드 (EGP),28.10,0.06000,1,49.54500
케냐 실링 (KES),10.77,0,1,129.25000
리비아 디나르 (LYD),285.46,0.34000,1,4.87635
에티오피아 비르 (ETB),11.35,0.04000,1,122.62500
피지 달러 (FJD),614.85,1.13000,1,0.44170
