통화명,환율(원),전일대비,Date
미국 달러 (USD),"1,392.00",0.6,2024-11-19
위안 (CNH),192.41,0.06,2024-11-19
일본 엔 (JPY) (100),900.56,0.83,2024-11-19
유로 (EUR),"1,475.10",0.29,2024-11-19
영국 파운드 (GBP),"1,765.40",0.49,2024-11-19
캐나다 달러 (CAD),997.49,4.3,2024-11-19
스위스 프랑 (CHF),"1,577.61",0.67,2024-11-19
호주 달러 (AUD),909.53,3.92,2024-11-19
뉴질랜드 달러 (NZD),823.37,3.2,2024-11-19
홍콩 달러 (HKD),178.84,0.07,2024-11-19
대만 달러 (TWD),43.04,0.14,2024-11-19
몽골 투그릭 (MNT),0.41,0.0,2024-11-19
카자흐스탄 텡게 (KZT),2.80,0.01,2024-11-19
태국 밧 (THB),40.36,0.11,2024-11-19
싱가포르 달러 (SGD),"1,040.48",0.33,2024-11-19
인도네시아 루피아 (IDR) (100),8.79,0.0,2024-11-19
말레이시아 링깃 (MYR),311.20,0.39,2024-11-19
필리핀 페소 (PHP),23.65,0.07,2024-11-19
베트남 동 (VND) (100),5.48,0.0,2024-11-19
브루나이 달러 (BND),"1,040.48",0.33,2024-11-19
인도 루피 (INR),16.49,0.01,2024-11-19
파키스탄 루피 (PKR),5.01,0.0,2024-11-19
방글라데시 타카 (BDT),11.65,0.0,2024-11-19
캄보디아 리엘 (KHR),0.34,0.0,2024-11-19
마카오 파타카 (MOP),173.54,0.08,2024-11-19
네팔 루피 (NPR),10.31,0.0,2024-11-19
스리랑카 루피 (LKR),4.78,0.0,2024-11-19
우즈베키스탄 숨 (UZS),0.11,0.0,2024-11-19
미얀마 짯 (MMK),0.66,0.0,2024-11-19
멕시코 페소 (MXN),69.23,0.35,2024-11-19
브라질 헤알 (BRL),241.12,1.16,2024-11-19
아르헨티나 페소 (ARS),1.39,0.0,2024-11-19
칠레 페소 (CLP),1.43,0.0,2024-11-19
콜롬비아 페소 (COP),0.32,0.0,2024-11-19
스웨덴 크로나 (SEK),127.49,0.14,2024-11-19
덴마크 크로네 (DKK),197.76,0.05,2024-11-19
노르웨이 크로네 (NOK),126.79,0.22,2024-11-19
러시아 루블 (RUB),13.84,0.12,2024-11-19
헝가리 포린트 (HUF),3.61,0.02,2024-11-19
폴란드 즈워티 (PLN),340.39,1.52,2024-11-19
체코 코루나 (CZK),58.33,0.0,2024-11-19
루마니아 레우 (RON),296.42,0.07,2024-11-19
사우디아라비아 리얄 (SAR),370.79,0.17,2024-11-19
카타르 리얄 (QAR),381.68,0.29,2024-11-19
이스라엘 셰켈 (ILS),371.79,0.82,2024-11-19
요르단 디나르 (JOD),"1,961.25",2.92,2024-11-19
쿠웨이트 디나르 (KWD),"4,528.01",2.1,2024-11-19
바레인 디나르 (BHD),"3,692.50",1.69,2024-11-19
아랍에미리트 디르함 (AED),378.98,0.17,2024-11-19
튀르키예 리라 (TRY),40.34,0.06,2024-11-19
오만 리얄 (OMR),"3,615.30",1.56,2024-11-19
남아프리카공화국 랜드 (ZAR),77.14,0.41,2024-11-19
이집트 파운드 (EGP),28.10,0.06,2024-11-19
케냐 실링 (KES),10.77,0.0,2024-11-19
리비아 디나르 (LYD),285.46,0.34,2024-11-19
에티오피아 비르 (ETB),11.35,0.04,2024-11-19
피지 달러 (FJD),614.85,1.13,2024-11-19
미국 달러 (USD),"1,392.00",0.6,2024-11-18
위안 (CNH),192.41,0.06,2024-11-18
일본 엔 (JPY) (100),900.56,0.83,2024-11-18
유로 (EUR),"1,475.10",0.29,2024-11-18
영국 파운드 (GBP),"1,765.40",0.49,2024-11-18
캐나다 달러 (CAD),997.49,4.3,2024-11-18
스위스 프랑 (CHF),"1,577.61",0.67,2024-11-18
호주 달러 (AUD),909.53,3.92,2024-11-18
뉴질랜드 달러 (NZD),823.37,3.2,2024-11-18
홍콩 달러 (HKD),178.84,0.07,2024-11-18
대만 달러 (TWD),43.04,0.14,2024-11-18
몽골 투그릭 (MNT),0.41,0.0,2024-11-18
카자흐스탄 텡게 (KZT),2.80,0.01,2024-11-18
태국 밧 (THB),40.36,0.11,2024-11-18
싱가포르 달러 (SGD),"1,040.48",0.33,2024-11-18
인도네시아 루피아 (IDR) (100),8.79,0.0,2024-11-18
말레이시아 링깃 (MYR),311.20,0.39,2024-11-18
필리핀 페소 (PHP),23.65,0.07,2024-11-18
베트남 동 (VND) (100),5.48,0.0,2024-11-18
브루나이 달러 (BND),"1,040.48",0.33,2024-11-18
인도 루피 (INR),16.49,0.01,2024-11-18
파키스탄 루피 (PKR),5.01,0.0,2024-11-18
방글라데시 타카 (BDT),11.65,0.0,2024-11-18
캄보디아 리엘 (KHR),0.34,0.0,2024-11-18
마카오 파타카 (MOP),173.54,0.08,2024-11-18
네팔 루피 (NPR),10.31,0.0,2024-11-18
스리랑카 루피 (LKR),4.78,0.0,2024-11-18
우즈베키스탄 숨 (UZS),0.11,0.0,2024-11-18
미얀마 짯 (MMK),0.66,0.0,2024-11-18
멕시코 페소 (MXN),69.23,0.35,2024-11-18
브라질 헤알 (BRL),241.12,1.16,2024-11-18
아르헨티나 페소 (ARS),1.39,0.0,2024-11-18
칠레 페소 (CLP),1.43,0.0,2024-11-18
콜롬비아 페소 (COP),0.32,0.0,2024-11-18
스웨덴 크로나 (SEK),127.49,0.14,2024-11-18
덴마크 크로네 (DKK),197.76,0.05,2024-11-18
노르웨이 크로네 (NOK),126.79,0.22,2024-11-18
러시아 루블 (RUB),13.84,0.12,2024-11-18
헝가리 포린트 (HUF),3.61,0.02,2024-11-18
폴란드 즈워티 (PLN),340.39,1.52,2024-11-18
체코 코루나 (CZK),58.33,0.0,2024-11-18
루마니아 레우 (RON),296.42,0.07,2024-11-18
사우디아라비아 리얄 (SAR),370.79,0.17,2024-11-18
카타르 리얄 (QAR),381.68,0.29,2024-11-18
이스라엘 셰켈 (ILS),371.79,0.82,2024-11-18
요르단 디나르 (JOD),"1,961.25",2.92,2024-11-18
쿠웨이트 디나르 (KWD),"4,528.01",2.1,2024-11-18
바레인 디나르 (BHD),"3,692.50",1.69,2024-11-18
아랍에미리트 디르함 (AED),378.98,0.17,2024-11-18
튀르키예 리라 (TRY),40.34,0.06,2024-11-18
오만 리얄 (OMR),"3,615.30",1.56,2024-11-18
남아프리카공화국 랜드 (ZAR),77.14,0.41,2024-11-18
이집트 파운드 (EGP),28.10,0.06,2024-11-18
케냐 실링 (KES),10.77,0.0,2024-11-18
리비아 디나르 (LYD),285.46,0.34,2024-11-18
에티오피아 비르 (ETB),11.35,0.04,2024-11-18
피지 달러 (FJD),614.85,1.13,2024-11-18
미국 달러 (USD),"1,392.00",0.60,2024-11-20
